Date,Open,High,Low,Close,Adj Close,Volume
2023-09-29,15478.070313,15572.169922,15364.990234,15398.209961,15398.209961,3865960000
2023-10-02,15398.209961,15398.209961,15154.009766,15230.009766,15230.009766,3938660000
2023-10-03,15230.009766,15230.009766,14993.919922,15043.419922,15043.419922,3953830000
2023-10-04,15049.610352,15076.980469,14924.950195,15070.910156,15070.910156,3777600000
2023-10-05,15070.910156,15093.669922,14986.639648,15072.990234,15072.990234,3581470000
2023-10-06,15072.900391,15285.610352,14942.540039,15214.019531,15214.019531,3902030000
2023-10-09,15214.019531,15336.519531,15166.500000,15318.080078,15318.080078,3174630000
2023-10-10,15318.080078,15524.919922,15318.080078,15450.240234,15450.240234,3520240000
2023-10-11,15450.240234,15521.580078,15390.070313,15487.780273,15487.780273,3601660000
2023-10-12,15487.780273,15510.580078,15252.730469,15329.549805,15329.549805,3713140000
2023-10-13,15329.549805,15454.759766,15273.099609,15323.700195,15323.700195,3566560000
2023-10-16,15323.700195,15515.799805,15323.700195,15484.500000,15484.500000,3409960000
2023-10-17,15484.500000,15618.900391,15406.610352,15541.379883,15541.379883,3794850000
2023-10-18,15541.379883,15541.379883,15302.009766,15324.959961,15324.959961,3686030000
2023-10-19,15324.959961,15386.139648,15171.669922,15196.370117,15196.370117,3969730000
2023-10-20,15196.370117,15196.370117,15031.639648,15033.309570,15033.309570,4004030000
2023-10-23,15033.309570,15082.620117,14916.629883,14946.009766,14946.009766,3776100000
2023-10-24,14946.009766,15086.099609,14946.009766,15025.759766,15025.759766,3821820000
2023-10-25,15025.759766,15025.759766,14899.500000,14914.120117,14914.120117,3869370000
2023-10-26,14914.120117,14956.700195,14830.690430,14858.700195,14858.700195,4277640000
2023-10-27,14858.700195,14873.459961,14638.370117,14675.780273,14675.780273,4019500000
2023-10-30,14675.780273,14853.459961,14675.780273,14825.889648,14825.889648,3911140000
2023-10-31,14825.889648,14923.190430,14804.650391,14919.200195,14919.200195,4249470000
2023-11-01,14919.200195,15024.419922,14904.919922,15002.549805,15002.549805,4224900000
2023-11-02,15002.549805,15339.740234,15002.549805,15332.599609,15332.599609,4669780000
2023-11-03,15332.599609,15539.879883,15332.599609,15475.200195,15475.200195,4570960000
2023-11-06,15475.200195,15523.809570,15399.230469,15440.500000,15440.500000,3656340000
2023-11-07,15440.500000,15440.500000,15342.730469,15388.490234,15388.490234,3791230000
2023-11-08,15388.480469,15422.809570,15302.940430,15352.190430,15352.190430,3729510000
