Date;Open NYA;High NYA;Low NYA;Close NYA;Adj Close NYA; Volume NYA;Open IXIC;High IXIC;Low IXIC;Close IXIC;Adj Close IXIC;Volume IXIC;Open RUT;High RUT;Low RUT;Close RUT;Adj Close RUT;Volume RUT
Jan 13, 2023;15,859.55;15,940.61;15,749.91;15,918.37;15,918.37;3,939,700,000;10,906.37;11,084.01;10,900.16;11,079.16;11,079.16;5,077,990,000;1,867.50;1,889.15;1,861.74;1,887.03;1,887.03;3,939,700,000
Jan 12, 2023;15,749.09;15,911.00;15,692.51;15,859.55;15,859.55;4,440,260,000;10,969.26;11,027.75;10,797.12;11,001.10;11,001.10;5,681,240,000;1,850.25;1,876.06;1,839.09;1,876.06;1,876.06;4,440,260,000
Jan 11, 2023;15,608.17;15,750.48;15,608.17;15,749.09;15,749.09;4,303,360,000;10,794.99;10,932.44;10,762.73;10,931.67;10,931.67;5,284,390,000;1,827.12;1,844.16;1,826.52;1,844.05;1,844.05;4,303,360,000
Jan 10, 2023;15,514.44;15,614.62;15,464.19;15,608.17;15,608.17;3,851,030,000;10,607.72;10,743.67;10,589.59;10,742.63;10,742.63;4,710,680,000;1,794.29;1,822.65;1,793.19;1,822.65;1,822.65;3,851,030,000
Jan 9, 2023;15,539.74;15,703.02;15,507.98;15,514.44;15,514.44;4,311,770,000;10,662.10;10,807.26;10,619.12;10,635.65;10,635.65;5,132,190,000;1,801.07;1,817.09;1,794.54;1,795.91;1,795.91;4,311,770,000
Jan 6, 2023;15,225.40;15,568.90;15,225.40;15,539.74;15,539.74;3,923,560,000;10,363.96;10,604.14;10,265.04;10,569.29;10,569.29;5,199,780,000;1,764.33;1,795.56;1,758.50;1,792.80;1,792.80;3,923,560,000
Jan 5, 2023;15,350.30;15,350.30;15,168.69;15,225.40;15,225.40;3,893,450,000;10,390.31;10,393.22;10,295.25;10,305.24;10,305.24;4,764,270,000;1,766.08;1,766.08;1,745.38;1,753.19;1,753.19;3,893,450,000
Jan 4, 2023;15,154.45;15,407.60;15,154.45;15,350.30;15,350.30;4,414,080,000;10,467.82;10,515.22;10,337.64;10,458.76;10,458.76;5,085,380,000;1,758.09;1,781.97;1,758.09;1,772.54;1,772.54;4,414,080,000
Jan 3, 2023;15,184.31;15,327.53;15,053.17;15,154.45;15,154.45;3,959,140,000;10,562.06;10,613.06;10,309.16;10,386.98;10,386.98;4,780,650,000;1,769.75;1,785.95;1,737.26;1,750.73;1,750.73;3,959,140,000
Dec 30, 2022;15,241.21;15,241.21;15,069.41;15,184.31;15,184.31;2,979,870,000;10,368.37;10,468.31;10,324.70;10,466.48;10,466.48;3,959,030,000;1,759.26;1,763.93;1,747.23;1,761.25;1,761.25;2,979,870,000
